'2020-02-26 19:29:49','PODDv1.2_003','GlobeTemp',73.94,'2020-02-26 11:29:48'
'2020-02-26 19:29:49','PODDv1.2_003','CO2',545,'2020-02-26 11:29:49'
'2020-02-26 19:29:49','PODDv1.2_003','CO',0,'2020-02-26 11:29:49'
'2020-02-26 19:29:49','PODDv1.2_003','PM_2.5',0.8,'2020-02-26 11:29:49'
'2020-02-26 19:29:50','PODDv1.2_003','PM_10',0.8,'2020-02-26 11:29:49'
'2020-02-26 19:29:50','PODDv1.2_003','Light',432.8,'2020-02-26 11:29:50'
'2020-02-26 19:29:51','PODDv1.2_003','Sound',5.39,'2020-02-26 11:29:50'
'2020-02-26 19:30:20','PODDv1.2_004','GlobeTemp',72.94,'2020-02-26 11:30:19'
'2020-02-26 19:30:22','PODDv1.2_004','CO2',513,'2020-02-26 11:30:20'
'2020-02-26 19:30:23','PODDv1.2_004','CO',0,'2020-02-26 11:30:21'
'2020-02-26 19:30:24','PODDv1.2_004','Light',394.56,'2020-02-26 11:30:22'
'2020-02-26 19:30:25','PODDv1.2_004','Sound',8.15,'2020-02-26 11:30:24'
'2020-02-26 19:30:26','PODDv1.2_004','Humidity',31.72,'2020-02-26 11:30:25'
'2020-02-26 19:30:27','PODDv1.2_004','AirTemp',73.11,'2020-02-26 11:30:25'
'2020-02-26 19:31:02','PODDv1.2_005','Light',390.4,'2020-02-26 11:31:01'
'2020-02-26 19:31:03','PODDv1.2_005','Sound',8.62,'2020-02-26 11:31:02'
'2020-02-26 19:31:04','PODDv1.2_005','Humidity',31.57,'2020-02-26 11:31:03'
'2020-02-26 19:31:06','PODDv1.2_005','AirTemp',73.35,'2020-02-26 11:31:03'
'2020-02-26 19:31:07','PODDv1.2_005','GlobeTemp',72.69,'2020-02-26 11:31:06'
'2020-02-26 19:31:08','PODDv1.2_005','CO2',513,'2020-02-26 11:31:07'
'2020-02-26 19:31:09','PODDv1.2_005','CO',0,'2020-02-26 11:31:08'
'2020-02-26 19:31:42','PODDv1.2_006','Light',431.2,'2020-02-26 11:31:40'
'2020-02-26 19:31:43','PODDv1.2_006','Sound',4.13,'2020-02-26 11:31:42'
'2020-02-26 19:31:44','PODDv1.2_006','Humidity',32.69,'2020-02-26 11:31:43'
'2020-02-26 19:31:45','PODDv1.2_006','AirTemp',73.36,'2020-02-26 11:31:43'
'2020-02-26 19:31:46','PODDv1.2_006','GlobeTemp',72.69,'2020-02-26 11:31:45'
'2020-02-26 19:31:48','PODDv1.2_006','CO2',511,'2020-02-26 11:31:46'
'2020-02-26 19:31:48','PODDv1.2_003','Humidity',33.29,'2020-02-26 11:31:48'
'2020-02-26 19:31:48','PODDv1.2_003','AirTemp',73.42,'2020-02-26 11:31:48'
'2020-02-26 19:31:49','PODDv1.2_003','GlobeTemp',74.19,'2020-02-26 11:31:48'
'2020-02-26 19:31:49','PODDv1.2_003','CO2',565,'2020-02-26 11:31:49'
'2020-02-26 19:31:49','PODDv1.2_003','CO',0,'2020-02-26 11:31:49'
'2020-02-26 19:31:49','PODDv1.2_003','PM_2.5',0.8,'2020-02-26 11:31:49'
'2020-02-26 19:31:50','PODDv1.2_003','PM_10',0.8,'2020-02-26 11:31:49'
'2020-02-26 19:31:50','PODDv1.2_006','CO',0,'2020-02-26 11:31:48'
'2020-02-26 19:31:50','PODDv1.2_003','Light',442.72,'2020-02-26 11:31:50'
'2020-02-26 19:31:51','PODDv1.2_003','Sound',5.4,'2020-02-26 11:31:50'
'2020-02-26 19:32:20','PODDv1.2_004','GlobeTemp',72.94,'2020-02-26 11:32:19'
'2020-02-26 19:32:22','PODDv1.2_004','CO2',507,'2020-02-26 11:32:20'
'2020-02-26 19:32:23','PODDv1.2_004','CO',0,'2020-02-26 11:32:21'
